F,1.98211
F,1.81017
F,1.85172
F,1.81691
F,1.86844
F,1.83924
F,1.92536
F,2.16569
F,2.16624
F,1.92716
F,1.76752
F,1.72816
F,1.66906
F,1.72173
F,1.82458
F,1.73309
F,1.74254
F,1.68394
F,1.80516
F,1.7078
F,1.7592
F,1.80913
F,1.86938
F,1.93477
F,1.92618
F,1.87562
F,1.74335
F,1.7397
F,1.79469
F,1.8872
F,2.26243
F,8.18954
F,2.05011
F,1.87922
F,1.8454
F,1.82912
F,1.89235
F,2.13754
F,2.12942
F,2.03573
F,2.03692
F,1.91352
F,1.86482
F,1.82835
F,1.76397
F,1.81076
F,1.82085
F,1.81386
F,1.7543
F,1.72676
F,1.7977
F,1.79407
F,1.79972
F,1.86973
F,1.89591
F,1.93219
F,1.9358
F,1.91808
F,1.8168
F,1.78086
F,1.85541
F,1.91819
F,2.20548
F,8.62734
F,2.1119
F,1.90074
F,1.91132
F,1.85082
F,1.96125
F,1.9267
F,1.87435
F,1.89896
F,1.96439
F,1.93029
F,1.90948
F,1.86259
F,1.85257
F,1.88441
F,1.88993
F,1.87662
F,1.89561
F,1.86439
F,1.87453
F,1.90904
F,2.00756
F,1.96317
F,2.04104
F,1.97732
F,1.9257
F,1.97856
F,2.00425
F,2.01976
F,2.00852
F,2.15449
F,2.56528
F,8.49391
F,2.03852
F,1.86582
F,1.86827
F,1.84641
F,1.87682
F,1.91947
F,1.89214
F,1.87302
F,1.94861
F,1.88001
F,1.88289
F,1.82598
F,1.81743
F,1.86029
F,1.86168
F,1.81111
F,1.81393
F,1.8005
F,1.80905
F,1.90103
F,1.86003
F,1.85028
F,1.95336
F,1.87686
F,1.93164
F,1.91623
F,1.9174
F,1.91138
F,1.91538
F,1.95174
F,2.56487
F,10.8873
F,2.07329
F,1.89524
F,1.87683
F,1.89455
F,1.87219
F,1.90766
F,1.91395
F,1.87346
F,1.85507
F,1.88261
F,1.93104
F,1.88046
F,1.88932
F,1.88891
F,1.87174
F,1.8188
F,1.89165
F,1.88428
F,1.88467
F,1.91895
F,1.91976
F,1.83746
F,1.92758
F,1.84413
F,1.9032
F,1.91382
F,1.93004
F,1.91763
F,1.91084
F,2.00394
F,2.91195
F,12.3973
F,2.01502
F,1.85373
F,1.88138
F,1.85482
F,1.88362
F,1.9309
F,1.92403
F,1.8752
F,1.85103
F,1.89609
F,1.87748
F,1.919
F,1.93569
F,1.90299
F,1.96505
F,1.85499
F,1.86003
F,1.8254
F,1.91812
F,1.95561
F,1.93803
F,1.89695
F,1.90028
F,1.90286
F,1.94412
F,1.9439
F,1.9549
F,1.96542
F,2.01001
F,2.0437
F,2.78996
F,11.2064
F,2.06271
F,1.88842
F,1.92313
F,1.84126
F,1.88354
F,1.87518
F,1.89721
F,1.89098
F,1.8605
F,1.92394
F,1.93867
F,1.89421
F,1.87905
F,1.92845
F,1.91031
F,1.86214
F,1.87078
F,1.92083
F,1.92202
F,1.93371
F,1.8794
F,1.8642
F,1.89236
F,1.86924
F,1.9785
F,1.90235
F,1.9451
F,1.94127
F,2.02657
F,2.03456
F,2.89131
F,12.0733
F,2.71287
F,2.6317
F,2.50597
F,2.44418
F,2.40691
F,2.23883
F,2.26739
F,2.26275
F,2.22585
F,2.20239
F,2.04345
F,2.02188
F,1.94202
F,1.96394
F,1.91857
F,1.83956
F,1.84792
F,1.90564
F,1.86812
F,1.91622
F,1.88313
F,1.8451
F,1.85145
F,1.87037
F,1.88813
F,1.98876
F,1.93852
F,1.96779
F,1.99202
F,1.95819
F,2.75032
F,13.2981
F,2.13982
F,1.97733
F,1.97228
F,1.97703
F,1.95571
F,1.96944
F,2.11895
F,2.19926
F,2.53359
F,2.81863
F,3.00563
F,3.19362
F,3.36916
F,3.36572
F,3.3107
F,3.14213
F,3.11043
F,3.09685
F,2.90194
F,6.03
F,5.56536
F,10.6546
F,2.89143
F,2.70852
F,2.44466
F,2.15441
F,2.02111
F,1.92364
F,2.01599
F,2.08338
F,2.7678
F,13.4092
F,2.15438
F,2.00292
F,1.97135
F,1.90902
F,2.11148
F,1.94838
F,1.9369
F,1.86242
F,1.86579
F,1.8914
F,1.88311
F,1.8437
F,1.87026
F,1.87019
F,1.84589
F,1.84264
F,1.88284
F,1.89016
F,1.88097
F,1.96496
F,2.40522
F,21.0421
F,1.82632
F,1.96137
F,2.07144
F,2.4815
F,2.74156
F,2.58191
F,2.21624
F,2.15458
F,2.96693
F,15.9262
F,2.07686
F,1.97479
F,1.97162
F,1.96408
F,1.98769
F,2.02079
F,1.98715
F,1.89378
F,1.8797
F,1.90579
F,1.85977
F,1.84832
F,1.8808
F,1.9103
F,1.871
F,1.89867
F,1.83874
F,1.90106
F,1.92455
F,1.94397
F,2.11678
F,21.3031
F,1.85476
F,2.04498
F,2.13145
F,1.96738
F,2.47781
F,2.26514
F,2.2059
F,2.19721
F,2.87552
F,18.7034
F,2.05526
F,2.22405
F,2.5479
F,2.1004
F,1.93633
F,1.90202
F,1.92795
F,1.89179
F,1.87924
F,1.92702
F,1.85257
F,1.81388
F,1.8228
F,1.87434
